index,prob_avgs,entropy_percent,prob_distance,flag
4,0.795990293,1.160964047,0.998655727,0
5,0.82971759,0.9697239,0.997997567,0
6,0.854043104,0.99302602,0.999993722,0
7,0.87224188,1.118104807,0.999376198,0
8,0.886436392,1.090192223,0.999990948,0
9,0.897777232,0.998696574,0.999725195,0
10,0.907026992,1.003758658,0.999113771,0
11,0.914756777,0.984101578,0.999610412,0
12,0.920259977,1.068589766,0.980702204,0
13,0.925581516,0.989290574,0.992635902,0
14,0.928737566,1.083932746,0.96812616,0
15,0.933181351,1.030569946,0.99971852,0
16,0.937111032,1.041934657,0.999983743,0
17,0.940602618,0.985659377,0.999948463,0
18,0.943612928,1.037829515,0.995872298,0
19,0.946029819,1.022405646,0.98537066,0
20,0.948592562,1.001221416,0.999725934,0
21,0.950852411,1.044826582,0.997228199,0
22,0.952985464,1.010460165,0.999893989,0
23,0.954944398,0.992587622,0.999999743,0
24,0.956042551,0.987147427,0.968385055,0
25,0.957663993,1.012154819,0.996699326,0
26,0.959231932,1.01212369,0.999997668,0
27,0.960687836,1.02339836,0.99999597,0
28,0.961880592,1.032290893,0.994249344,0
29,0.963149232,1.014789824,0.999909558,0
30,0.96423855,0.995846838,0.995008554,0
31,0.96535595,1.018708772,0.999993372,0
32,0.966404184,1.019730678,0.999924115,0
33,0.967358455,1.006128404,0.998111777,0
34,0.968291064,0.999590254,0.999999659,0
35,0.969171798,1.004203622,0.999996618,0
36,0.969210442,1.008363565,0.965007777,0
37,0.969287798,1.018752146,0.957954148,0
38,0.970060263,1.013291515,0.999048615,0
39,0.970595974,1.010862033,0.983430355,0
40,0.971253742,1.038123929,0.995917252,0
41,0.971876815,1.018220188,0.996140169,0
42,0.972523415,1.005627369,0.999595847,0
4,0.764917889,1.160964047,0.998899599,0
5,0.803645564,0.9697239,0.996462356,0
6,0.831694545,0.99302602,0.999980297,0
7,0.852503965,1.118104807,0.99734114,0
8,0.868877697,1.090192223,0.999802535,0
9,0.881940933,0.998696574,0.999303479,0
10,0.892547517,1.003758658,0.99734909,0
11,0.901480606,0.984101578,0.999604788,0
12,0.908135507,1.068589766,0.980509587,0
13,0.914454457,0.989290574,0.994862715,0
14,0.917737223,1.083932746,0.957499963,0
