index,prob_avgs,entropy_percent,prob_distance,flag
4,0.782833751,1.160964047,0.995467295,0
5,0.817995177,1.161172354,0.991541776,0
6,0.842794747,1.144206566,0.987106559,0
7,0.862418828,1.07681312,0.999649746,0
8,0.877501876,1.060286966,0.997387719,0
9,0.889746169,1.065782878,0.999913114,0
10,0.899670106,1.018748864,0.998730109,0
11,0.907861728,1.038056106,0.997197235,0
12,0.914694358,1.0224187,0.995078313,0
13,0.92073709,1.020658859,0.999118699,0
14,0.925052852,1.028203916,0.979186823,0
15,0.92968609,1.025594253,0.999030004,0
16,0.933546549,1.003536629,0.991402091,0
4,0.762809333,1.160964047,0.998979594,0
5,0.800757217,1.161172354,0.987626221,0
6,0.828678955,1.144206566,0.994834979,0
7,0.850071369,1.07681312,0.999681688,0
8,0.866604479,1.060286966,0.998358418,0
9,0.879929321,1.065782878,0.999761199,0
10,0.890748229,1.018748864,0.998629798,0
11,0.899748831,1.038056106,0.998139213,0
12,0.907257212,1.0224187,0.996389657,0
13,0.913858042,1.020658859,0.99959517,0
14,0.91896208,1.028203916,0.985574252,0
15,0.923893581,1.025594253,0.997011288,0
16,0.928166157,1.003536629,0.993918381,0
4,0.70894245,1.160964047,0.998936949,0
5,0.75591303,1.161172354,0.987803593,0
6,0.790026035,1.144206566,0.991611481,0
7,0.816261292,1.07681312,0.999848882,0
8,0.836556779,1.060286966,0.998546847,0
9,0.852897668,1.065782878,0.999943194,0
10,0.866215641,1.018748864,0.999224137,0
11,0.877360513,1.038056106,0.999926569,0
12,0.88671898,1.0224187,0.998229096,0
13,0.894803099,1.020658859,0.999863949,0
14,0.901655531,1.028203916,0.996542548,0
15,0.907771476,1.025594253,0.999304074,0
16,0.91308855,1.003536629,0.997222634,0
4,0.755264704,1.18351017,0.994747242,0
5,0.794765684,1.091693221,0.990150287,0
6,0.823582678,1.069640403,0.995405557,0
7,0.845626662,1.057299023,0.999898922,0
8,0.862756215,1.032211555,0.999646113,0
9,0.876432469,1.042341736,0.999422687,0
10,0.887589684,1.048380276,0.998922296,0
11,0.896954677,1.031207211,0.999957478,0
12,0.904851915,1.018705975,0.999493463,0
13,0.911578205,1.017420396,0.99828224,0
14,0.917428217,1.016286557,0.998862944,0
15,0.922538353,1.022580191,0.99900815,0
16,0.92709398,1.002255903,0.99997341,0
4,0.808220536,1.151374172,0.999610889,0
5,0.8377535,1.103182287,0.976200014,0
6,0.860763052,1.059331428,0.997772033,0
7,0.877968628,1.033244355,0.996964121,0
8,0.891358677,1.0297611,0.997164615,0
9,0.90209764,1.039445706,0.99813686,0
10,0.910941479,1.006448816,0.998981749,0
11,0.918335773,1.033427508,0.999453079,0
12,0.924591539,1.029947703,0.999593656,0
13,0.92995457,1.018033096,0.999541606,0
14,0.934448042,1.024864083,0.994960515,0
4,0.605583056,1.18351017,0.994849577,0
5,0.670444754,1.091693221,0.991051717,0
6,0.717468821,1.069640403,0.999422159,0
7,0.752782089,1.057299023,0.999959277,0
8,0.78022605,1.032211555,0.99958057,0
9,0.802190499,1.042341736,0.999828227,0
10,0.820121525,1.048380276,0.999325463,0
11,0.835102358,1.031207211,0.999820103,0
12,0.847603485,1.018705975,0.997001466,0
13,0.858343792,1.017420396,0.996129471,0
14,0.867734121,1.016286557,0.999073482,0
15,0.875996238,1.022580191,0.999905525,0
16,0.883290416,1.002255903,0.999996452,0
4,0.816049005,1.118324629,0.999799502,0
5,0.845968456,0.989907329,0.992791134,0
6,0.867960769,1.057235309,0.999899676,0
7,0.884452664,1.049899717,0.999840311,0
8,0.897243421,1.062964497,0.999406055,0
9,0.907150645,1.06881644,0.994919462,0
10,0.915590856,1.012424646,0.99998952,0
11,0.922608237,1.027216442,0.999605318,0
12,0.928537076,1.006634602,0.99963251,0
13,0.933502951,1.016250605,0.997105543,0
14,0.937935834,1.000876027,0.999994703,0
4,0.803476088,1.118324629,0.999954028,0
5,0.832432592,0.989907329,0.965385044,0
6,0.856308745,1.057235309,0.999386179,0
7,0.874247271,1.049899717,0.999686631,0
8,0.887854009,1.062964497,0.995912074,0
9,0.898959484,1.06881644,0.998554826,0
10,0.908143208,1.012424646,0.99997321,0
11,0.915730434,1.027216442,0.998398298,0
12,0.92166347,1.006634602,0.98850674,0
13,0.927055075,1.016250605,0.996057686,0
14,0.931917427,1.000876027,0.99998703,0
4,0.657976091,1.160964047,0.99547791,0
5,0.71146072,1.161172354,0.975694406,0
6,0.722906479,1.144206566,0.670188151,0
7,0.757326409,1.07681312,0.997771,0
8,0.77954283,1.060286966,0.93918455,0
9,0.800857043,1.065782878,0.991293852,0
10,0.818825575,1.018748864,0.998260021,0
11,0.833594402,1.038056106,0.993695588,0
12,0.845669462,1.0224187,0.987080392,0
13,0.856043594,1.020658859,0.989009297,0
14,0.857504531,1.028203916,0.857788356,0
15,0.866181422,1.025594253,0.995870755,0
16,0.873102227,1.003536629,0.980800111,0
4,0.961552799,1.118324629,0.999811648,0
5,0.966367573,0.989907329,0.987681144,0
6,0.971171217,1.057235309,0.999991212,0
7,0.974758707,1.049899717,0.999777262,0
8,0.977336042,1.062964497,0.997106497,0
9,0.979254949,1.06881644,0.994827409,0
10,0.981139974,1.012424646,0.999982928,0
11,0.982693757,1.027216442,0.999575482,0
12,0.983546197,1.006634602,0.990486519,0
13,0.984639547,1.016250605,0.998049277,0
14,0.98566105,1.000876027,0.999944452,0
4,0.679092507,1.18351017,0.997576643,0
5,0.732500279,1.091693221,0.999243229,0
6,0.770674683,1.069640403,0.999632937,0
7,0.799334745,1.057299023,0.999933395,0
8,0.821614394,1.032211555,0.999749289,0
9,0.839437624,1.042341736,0.999806324,0
10,0.853987734,1.048380276,0.999402045,0
11,0.866151459,1.031207211,0.99993711,0
12,0.876364604,1.018705975,0.998478411,0
13,0.885101754,1.017420396,0.99759476,0
14,0.892754437,1.016286557,0.999869873,0
15,0.899431852,1.022580191,0.999456532,0
16,0.905347345,1.002255903,0.999993401,0
4,0.827323693,1.160964047,0.992614207,0
5,0.855549549,1.161172354,0.995599539,0
6,0.875272048,1.144206566,0.991293359,0
7,0.890856262,1.07681312,0.999924648,0
8,0.902755105,1.060286966,0.997519333,0
9,0.912478104,1.065782878,0.999979677,0
10,0.920290505,1.018748864,0.997629671,0
11,0.926859356,1.038056106,0.998629055,0
12,0.932296182,1.0224187,0.996523316,0
13,0.937108455,1.020658859,0.99961152,0
14,0.940969998,1.028203916,0.992785879,0
15,0.944609078,1.025594253,0.999014455,0
